alias,matched_company
HDI AG,Talanx
COVESTRO,Covestro
Airbus Operations GmbH,Airbus
Rheinmetall Electronics GmbH,Rheinmetall
Rheinmetall AG,Rheinmetall
MTU Maintenance Hannover GmbH,MTU Aero Engines
ZEISS,Carl Zeiss Meditec
TeamViewer Germany GmbH,TeamViewer
adesso SE,adesso
adesso SE München B2Run 2025,adesso
QIAGEN GmbH,Qiagen
thyssenkrupp Rasselstein GmbH,thyssenkrupp
thyssenkrupp Uhde GmbH,thyssenkrupp
ThyssenKrupp Uhde GmbH,thyssenkrupp
CANCOM GmbH,CANCOM
Daimler Truck AG,Daimler Truck
Continental AG,Continental
EnBW AG,EnBW
EnBW Energie Baden-Württemberg AG,EnBW
Amadeus Fire AG Berlin,Amadeus Fire
Airbus DS Airborne Solutions GmbH,Airbus
TUI Group,TUI
RTL Deutschland GmbH,RTL Group
DEUTZ AG,DEUTZ
Schaeffler Technologies AG & Co. KG,Schaeffler
grenke AG,grenke
Villeroy & Boch,Villeroy & Boch
UmweltBank AG,UmweltBank
Uniper GmbH,Uniper
Elmos SE,Elmos Semiconductor
Borussia Dortmund GmbH & Co. KGaA,Borussia Dortmund
CENIT AG,CENIT
Dermapharm AG,Dermapharm
OVB Holding AG,OVB Holding
TRATON SE,TRATON
LPKF Laser & Electronics SE,LPKF Laser & Electronics
CTS Eventim AG & Co. KGaA,CTS Eventim
PSI Software SE,PSI Software
