city,year,competition_id,distance_km,source_url,event_url
bremen,2025,4337,6.0,https://b2run-iframe.maxfunsports.com/event/competition?id=4337&lang=de,https://b2run-iframe.maxfunsports.com/event/view?id=3215
dillingen,2025,4349,5.3,https://b2run-iframe.maxfunsports.com/event/competition?id=4349&lang=de,https://b2run-iframe.maxfunsports.com/event/view?id=3217
dillingen,2024,4138,5.3,https://b2run-iframe.maxfunsports.com/event/competition?id=4138&lang=de,https://b2run-iframe.maxfunsports.com/event/view?id=3193
dillingen,2023,3996,5.3,https://b2run-iframe.maxfunsports.com/event/competition?id=3996&lang=de,https://b2run-iframe.maxfunsports.com/event/view?id=3178
dortmund,2025,4298,5.9,https://b2run-iframe.maxfunsports.com/event/competition?id=4298&lang=de,https://b2run-iframe.maxfunsports.com/event/view?id=3209
duesseldorf,2025,4304,6.0,https://b2run-iframe.maxfunsports.com/event/competition?id=4304&lang=de,https://b2run-iframe.maxfunsports.com/event/view?id=3210
frankfurt,2025,4379,5.6,https://b2run-iframe.maxfunsports.com/event/competition?id=4379&lang=de,https://b2run-iframe.maxfunsports.com/event/view?id=3222
frankfurt,2024,4068,5.6,https://b2run-iframe.maxfunsports.com/event/competition?id=4068&lang=de,https://b2run-iframe.maxfunsports.com/event/view?id=3206
frankfurt,2023,4107,5.6,https://b2run-iframe.maxfunsports.com/event/competition?id=4107&lang=de,https://b2run-iframe.maxfunsports.com/event/view?id=3187
freiburg,2025,4316,5.0,https://b2run-iframe.maxfunsports.com/event/competition?id=4316&lang=de,https://b2run-iframe.maxfunsports.com/event/view?id=3212
gelsenkirchen,2025,4397,5.0,https://b2run-iframe.maxfunsports.com/event/competition?id=4397&lang=de,https://b2run-iframe.maxfunsports.com/event/view?id=3225
gelsenkirchen,2024,4213,5.0,https://b2run-iframe.maxfunsports.com/event/competition?id=4213&lang=de,https://b2run-iframe.maxfunsports.com/event/view?id=3204
gelsenkirchen,2023,4040,5.0,https://b2run-iframe.maxfunsports.com/event/competition?id=4040&lang=de,https://b2run-iframe.maxfunsports.com/event/view?id=3182
hamburg,2025,4385,5.0,https://b2run-iframe.maxfunsports.com/event/competition?id=4385&lang=de,https://b2run-iframe.maxfunsports.com/event/view?id=3223
hamburg,2024,4181,5.0,https://b2run-iframe.maxfunsports.com/event/competition?id=4181&lang=de,https://b2run-iframe.maxfunsports.com/event/view?id=3201
hamburg,2023,4051,5.0,https://b2run-iframe.maxfunsports.com/event/competition?id=4051&lang=de,https://b2run-iframe.maxfunsports.com/event/view?id=3183
hannover,2025,4331,6.5,https://b2run-iframe.maxfunsports.com/event/competition?id=4331&lang=de,https://b2run-iframe.maxfunsports.com/event/view?id=3214
kaiserslautern,2025,4310,5.0,https://b2run-iframe.maxfunsports.com/event/competition?id=4310&lang=de,https://b2run-iframe.maxfunsports.com/event/view?id=3211
koblenz,2025,4343,5.0,https://b2run-iframe.maxfunsports.com/event/competition?id=4343&lang=de,https://b2run-iframe.maxfunsports.com/event/view?id=3216
koeln,2025,4373,5.0,https://b2run-iframe.maxfunsports.com/event/competition?id=4373&lang=de,https://b2run-iframe.maxfunsports.com/event/view?id=3221
koeln,2024,4226,5.0,https://b2run-iframe.maxfunsports.com/event/competition?id=4226&lang=de,https://b2run-iframe.maxfunsports.com/event/view?id=3195
koeln,2023,3985,5.0,https://b2run-iframe.maxfunsports.com/event/competition?id=3985&lang=de,https://b2run-iframe.maxfunsports.com/event/view?id=3177
muenchen,2025,4355,5.7,https://b2run-iframe.maxfunsports.com/event/competition?id=4355&lang=de,https://b2run-iframe.maxfunsports.com/event/view?id=3218
muenchen,2024,4150,5.7,https://b2run-iframe.maxfunsports.com/event/competition?id=4150&lang=de,https://b2run-iframe.maxfunsports.com/event/view?id=3199
muenchen,2023,3952,5.7,https://b2run-iframe.maxfunsports.com/event/competition?id=3952&lang=de,https://b2run-iframe.maxfunsports.com/event/view?id=3174
nuernberg,2025,4361,6.1,https://b2run-iframe.maxfunsports.com/event/competition?id=4361&lang=de,https://b2run-iframe.maxfunsports.com/event/view?id=3219
nuernberg,2024,4144,6.1,https://b2run-iframe.maxfunsports.com/event/competition?id=4144&lang=de,https://b2run-iframe.maxfunsports.com/event/view?id=3194
nuernberg,2023,3963,6.1,https://b2run-iframe.maxfunsports.com/event/competition?id=3963&lang=de,https://b2run-iframe.maxfunsports.com/event/view?id=3175
stuttgart,2025,4367,5.0,https://b2run-iframe.maxfunsports.com/event/competition?id=4367&lang=de,https://b2run-iframe.maxfunsports.com/event/view?id=3220
aachen,2025,4286,5.0,https://b2run-iframe.maxfunsports.com/event/competition?id=4286&lang=de,manual
aachen,2024,4013,5.0,https://b2run-iframe.maxfunsports.com/event/competition?id=4013&lang=de,manual
berlin,2024,4220,5.7,https://b2run-iframe.maxfunsports.com/event/competition?id=4220&lang=de,manual
berlin,2025,4391,5.7,https://b2run-iframe.maxfunsports.com/event/competition?id=4391&lang=de,manual
berlin,2023,4073,5.7,https://b2run-iframe.maxfunsports.com/event/competition?id=4073&lang=de,manual
bremen,2024,4055,6.0,https://b2run-iframe.maxfunsports.com/event/competition?id=4055&lang=de,manual
dormund,2024,4102,5.9,https://b2run-iframe.maxfunsports.com/event/competition?id=4102&lang=de,manual
duesseldorf,2024,4201,6.0,https://b2run-iframe.maxfunsports.com/event/competition?id=4201&lang=de,manual
duesseldorf,2024,4201,6.0,https://b2run-iframe.maxfunsports.com/event/competition?id=4201&lang=de,manual
freiburg,2024,4175,5.0,https://b2run-iframe.maxfunsports.com/event/competition?id=4175&lang=de,manual
freiburg,2024,4207,6.5,https://b2run-iframe.maxfunsports.com/event/competition?id=4207&lang=de,manual
kaiserslautern,2024,4125,5.0,https://b2run-iframe.maxfunsports.com/event/competition?id=4125&lang=de,manual
koblenz,2024,4132,5.0,https://b2run-iframe.maxfunsports.com/event/competition?id=4132&lang=de,manual
stuttgart,2024,4156,5.0,https://b2run-iframe.maxfunsports.com/event/competition?id=4156&lang=de,manual
stuttgart,2024,4156,5.0,https://b2run-iframe.maxfunsports.com/event/competition?id=4156&lang=de,manual
karlsruhe,2025,4292,5.5,https://b2run-iframe.maxfunsports.com/event/competition?id=4292&lang=de,manual
karlsruhe,2024,4187,5.5,https://b2run-iframe.maxfunsports.com/event/competition?id=4187&lang=de,manual
