company_name,ticker,index,sector,cluster,germany_employees_estimate,confidence
Airbus,AIR.DE,DAX,Industrials,Engineering Giants,45000,medium
Adidas,ADS.DE,DAX,Consumer,Consumer Lifestyle,6500,medium
Allianz,ALV.DE,DAX,Finance,Corporate Marathoners,45000,medium
Aurubis,NDA.DE,MDAX,Materials,Heavy Industry,4200,medium
BASF,BAS.DE,DAX,Chemicals,Factory Endurance,50000,medium
Bayer,BAYN.DE,DAX,Healthcare,Factory Endurance,22000,medium
Beiersdorf,BEI.DE,DAX,Consumer,Consumer Lifestyle,3500,medium
BMW,BMW.DE,DAX,Automotive,Mobility Machines,85000,medium
Brenntag,BNR.DE,DAX,Chemicals,Factory Endurance,3000,low
Carl Zeiss Meditec,AFX.DE,MDAX,Healthcare,Precision Engineers,4500,medium
Commerzbank,CBK.DE,DAX,Finance,Corporate Marathoners,29000,medium
Continental,CON.DE,DAX,Automotive,Factory Endurance,32000,medium
Covestro,1COV.DE,DAX,Chemicals,Factory Endurance,8000,medium
Delivery Hero,DHER.DE,MDAX,Technology,Digital Hustlers,2000,low
Deutsche Bank,DBK.DE,DAX,Finance,Corporate Marathoners,38000,medium
Deutsche Boerse,DB1.DE,DAX,Finance,Corporate Marathoners,4000,high
Deutsche Lufthansa,LHA.DE,MDAX,Logistics,Mobility Machines,66000,medium
Deutsche Post,DHL.DE,DAX,Logistics,Corporate Marathoners,190000,medium
Deutsche Telekom,DTE.DE,DAX,Telecom,Connected Operators,74550,high
Daimler Truck,DTG.DE,DAX,Automotive,Mobility Machines,28000,medium
E.ON,EOAN.DE,DAX,Energy,Grid Operators,47000,medium
Evonik,EVK.DE,MDAX,Chemicals,Factory Endurance,20000,medium
Fraport,FRA.DE,MDAX,Logistics,Infrastructure Operators,19000,medium
Freenet,FNTN.DE,MDAX,Telecom,Connected Operators,3500,medium
Fresenius,FRE.DE,DAX,Healthcare,Care Providers,85000,medium
Fresenius Medical Care,FME.DE,DAX,Healthcare,Care Providers,7500,low
GEA,G1A.DE,MDAX,Industrials,Engineering Giants,6000,medium
Gerresheimer,GXI.DE,MDAX,Healthcare,Precision Engineers,3000,low
Hannover Rueck,HNR1.DE,DAX,Finance,Corporate Marathoners,2000,medium
Heidelberg Materials,HEI.DE,DAX,Materials,Heavy Industry,5000,low
HelloFresh,HFG.DE,MDAX,Consumer,Digital Hustlers,3500,low
Henkel,HEN3.DE,DAX,Consumer,Consumer Lifestyle,9000,medium
Hochtief,HOT.DE,MDAX,Industrials,Infrastructure Operators,5000,low
Infineon,IFX.DE,DAX,Technology,Precision Engineers,15000,medium
Jenoptik,JEN.DE,MDAX,Technology,Precision Engineers,3500,medium
KION,KGX.DE,MDAX,Industrials,Engineering Giants,10000,medium
Knorr-Bremse,KBX.DE,DAX,Industrials,Engineering Giants,6000,low
LANXESS,LXS.DE,MDAX,Chemicals,Factory Endurance,6724,high
Mercedes-Benz,MBG.DE,DAX,Automotive,Mobility Machines,90000,medium
Merck,MRK.DE,DAX,Healthcare,Precision Engineers,13000,medium
MTU Aero Engines,MTX.DE,DAX,Industrials,Precision Engineers,10000,medium
