year,matched_company,ticker,start_price,end_price,yearly_return_pct
2023,Adidas,ADS.DE,123.31,178.57,44.82
2024,Adidas,ADS.DE,176.69,230.32,30.35
2025,Adidas,ADS.DE,230.22,165.94,-27.92
2023,Puma,PUM.DE,53.16,48.39,-8.98
2024,Puma,PUM.DE,48.35,43.87,-9.26
2025,Puma,PUM.DE,43.13,22.3,-48.3
2023,UmweltBank,UBK.DE,13.6,7.86,-42.22
2024,UmweltBank,UBK.DE,7.88,6.2,-21.32
2025,UmweltBank,UBK.DE,6.14,3.53,-42.51
2023,Villeroy & Boch,VIB3.DE,13.64,15.26,11.88
2024,Villeroy & Boch,VIB3.DE,15.26,13.72,-10.12
2025,Villeroy & Boch,VIB3.DE,13.58,15.64,15.16
2023,Siemens Energy,ENR.DE,17.12,11.95,-30.19
2024,Siemens Energy,ENR.DE,11.83,49.87,321.37
2025,Siemens Energy,ENR.DE,50.62,119.89,136.82
2023,Wacker Chemie,WCH.DE,104.62,106.83,2.11
2024,Wacker Chemie,WCH.DE,105.94,67.38,-36.4
2025,Wacker Chemie,WCH.DE,67.69,69.35,2.46
2023,HelloFresh,HFG.DE,21.11,14.31,-32.21
2024,HelloFresh,HFG.DE,13.85,12.28,-11.3
2025,HelloFresh,HFG.DE,12.7,6.16,-51.53
2023,Siemens,SIE.DE,117.34,158.08,34.72
2024,Siemens,SIE.DE,156.18,181.41,16.15
2025,Siemens,SIE.DE,180.95,234.17,29.41
2023,Continental,CON.DE,51.42,68.55,33.3
2024,Continental,CON.DE,69.06,59.87,-13.31
2025,Continental,CON.DE,59.3,65.1,9.78
2023,MTU Aero Engines,MTX.DE,198.2,190.06,-4.11
2024,MTU Aero Engines,MTX.DE,189.87,316.2,66.54
2025,MTU Aero Engines,MTX.DE,315.91,351.27,11.19
2023,Deutsche Telekom,DTE.DE,16.69,19.77,18.47
2024,Deutsche Telekom,DTE.DE,19.96,27.28,36.64
