"company_name,ticker,index"
"Airbus,AIR.DE,DAX"
"Adidas,ADS.DE,DAX"
"Allianz,ALV.DE,DAX"
"Aurubis,NDA.DE,MDAX"
"BASF,BAS.DE,DAX"
"Bayer,BAYN.DE,DAX"
"Beiersdorf,BEI.DE,DAX"
"BMW,BMW.DE,DAX"
"Brenntag,BNR.DE,DAX"
"Carl Zeiss Meditec,AFX.DE,MDAX"
"Commerzbank,CBK.DE,DAX"
"Continental,CON.DE,DAX"
"Covestro,1COV.DE,DAX"
"Delivery Hero,DHER.DE,MDAX"
"Deutsche Bank,DBK.DE,DAX"
"Deutsche Boerse,DB1.DE,DAX"
"Deutsche Lufthansa,LHA.DE,MDAX"
"Deutsche Post,DHL.DE,DAX"
"Deutsche Telekom,DTE.DE,DAX"
"Daimler Truck,DTG.DE,DAX"
"E.ON,EOAN.DE,DAX"
"Evonik,EVK.DE,MDAX"
"Fraport,FRA.DE,MDAX"
"Freenet,FNTN.DE,MDAX"
"Fresenius,FRE.DE,DAX"
"Fresenius Medical Care,FME.DE,DAX"
"GEA,G1A.DE,MDAX"
"Gerresheimer,GXI.DE,MDAX"
"Hannover Rueck,HNR1.DE,DAX"
"Heidelberg Materials,HEI.DE,DAX"
"HelloFresh,HFG.DE,MDAX"
"Henkel,HEN3.DE,DAX"
"Hochtief,HOT.DE,MDAX"
"Infineon,IFX.DE,DAX"
"Jenoptik,JEN.DE,MDAX"
"KION,KGX.DE,MDAX"
"Knorr-Bremse,KBX.DE,DAX"
"LANXESS,LXS.DE,MDAX"
"Mercedes-Benz,MBG.DE,DAX"
"Merck,MRK.DE,DAX"
"MTU Aero Engines,MTX.DE,DAX"
"Munich Re,MUV2.DE,DAX"
"Nemetschek,NEM.DE,DAX"
"Porsche,P911.DE,DAX"
"Puma,PUM.DE,MDAX"
"Qiagen,QIA.DE,DAX"
"Rational,RAA.DE,MDAX"
"Rheinmetall,RHM.DE,DAX"
"RWE,RWE.DE,DAX"
"SAP,SAP.DE,DAX"
"Sartorius,SRT3.DE,DAX"
"Scout24,G24.DE,DAX"
"Siemens Energy,ENR.DE,DAX"
"Siemens Healthineers,SHL.DE,DAX"
"Siemens,SIE.DE,DAX"
"Symrise,SY1.DE,DAX"
"TeamViewer,TMV.DE,MDAX"
"United Internet,UTDI.DE,MDAX"
"Volkswagen,VOW3.DE,DAX"
"Vonovia,VNA.DE,DAX"
"Wacker Chemie,WCH.DE,MDAX"
"Zalando,ZAL.DE,DAX"
"Talanx,TLX.DE,MDAX"
"adesso,ADN1.DE,SDAX"
"DEUTZ,DEZ.DE,SDAX"
"Schaeffler,SHA0.DE,MDAX"
"TUI,TUI1.DE,MDAX"
"RTL Group,RRTL.DE,MDAX"
"grenke,GLJ.DE,SDAX"
"Villeroy & Boch,VIB3.DE,SDAX"
"UmweltBank,UBK.DE,Other"
"Uniper,UN0.DE,SDAX"
"thyssenkrupp,TKA.DE,MDAX"
"CANCOM,COK.DE,SDAX"
"Elmos Semiconductor,ELG.DE,SDAX"
"Borussia Dortmund,BVB.DE,SDAX"
"CENIT,CSH.DE,Other"
"Dermapharm,DMP.DE,SDAX"
"OVB Holding,O4B.DE,Other"
"EnBW,EBK.DE,Other"
"TRATON,8TRA.DE,MDAX"
"LPKF Laser & Electronics,LPK.DE,SDAX"
"CTS Eventim,EVD.DE,MDAX"
"Amadeus Fire,AAD.DE,SDAX"
"PSI Software,PSAN.DE,SDAX"
