year,fitnessdax_rank,fitness_score,fitness_score_100,matched_company,ticker,index,sector,cluster,participants,germany_employees_estimate,participation_rate,participation_rate_pct,participation_rate_rank,races_entered,top_20_pace,top_20_pace_formatted,top_20_pace_rank,median_pace,median_pace_formatted,median_pace_rank,average_pace_formatted,fastest_pace_formatted,slowest_pace_formatted,participation_multiple,participation_multiple_rank,yearly_return_pct
2023,14.0,0.4529,45.3,Adidas,ADS.DE,DAX,Consumer,Consumer Lifestyle,71.0,6500.0,0.0109230769230769,1.09,21.0,1.0,3.595628415300547,3:36/km,1.0,4.494535519125684,4:30/km,1.0,4:37/km,2:54/km,8:16/km,0.412,11.0,44.82
2023,21.0,0.3446,34.5,Airbus,AIR.DE,DAX,Industrials,Engineering Giants,553.0,45000.0,0.0122888888888888,1.23,19.0,2.0,4.876666666666667,4:53/km,30.0,5.987134502923976,5:59/km,25.0,6:19/km,3:31/km,12:26/km,0.458,6.0,24.79
2023,13.0,0.4692,46.9,Allianz,ALV.DE,DAX,Finance,Corporate Marathoners,1049.0,45000.0,0.0233111111111111,2.33,11.0,4.0,4.9002732240437155,4:54/km,31.0,6.333333333333334,6:20/km,37.0,6:36/km,3:31/km,11:22/km,0.477,5.0,25.64
2023,18.0,0.4025,40.2,Amadeus Fire,AAD.DE,SDAX,Professional Services,Office Athletes,96.0,4200.0,0.0228571428571428,2.29,13.0,4.0,5.016,5:01/km,38.0,7.038011695906432,7:02/km,42.0,7:12/km,4:04/km,12:33/km,0.282,29.0,9.92
2023,23.0,0.3378,33.8,Aurubis,NDA.DE,MDAX,Materials,Heavy Industry,42.0,4200.0,0.01,1.0,24.0,1.0,4.677666666666666,4:41/km,18.0,5.692333333333334,5:42/km,10.0,5:48/km,4:11/km,7:52/km,0.285,28.0,-3.29
2023,17.0,0.4121,41.2,BMW,BMW.DE,DAX,Automotive,Mobility Machines,1383.0,85000.0,0.0162705882352941,1.63,17.0,2.0,4.624269005847953,4:37/km,16.0,5.849415204678363,5:51/km,17.0,6:04/km,3:15/km,11:15/km,0.537,3.0,27.45
2023,5.0,0.8446,84.5,Bayer,BAYN.DE,DAX,Healthcare,Factory Endurance,1119.0,22000.0,0.0508636363636363,5.09,5.0,2.0,4.832748538011695,4:50/km,26.0,6.312865497076023,6:19/km,36.0,6:35/km,3:31/km,13:18/km,0.483,4.0,-29.21
2023,,,,Borussia Dortmund,BVB.DE,,,,,,,,,,,,,,,,,,,,,-5.91
2023,30.0,0.2487,24.9,CANCOM,COK.DE,SDAX,Technology,Office Athletes,26.0,4000.0,0.0065,0.65,29.0,2.0,5.194166666666666,5:12/km,41.0,6.160666666666667,6:10/km,33.0,6:20/km,4:47/km,10:09/km,0.23,36.0,8.28
2023,,,,CENIT,CSH.DE,,,,,,,,,,,,,,,,,,,,,4.41
2023,,,,CTS Eventim,EVD.DE,,,,,,,,,,,,,,,,,,,,,7.47
2023,20.0,0.3612,36.1,Carl Zeiss Meditec,AFX.DE,MDAX,Healthcare,Precision Engineers,47.0,4500.0,0.0104444444444444,1.04,23.0,1.0,4.616520467836257,4:37/km,15.0,5.491520467836257,5:29/km,6.0,5:52/km,4:03/km,9:31/km,0.304,25.0,-15.32
2023,29.0,0.254,25.4,Commerzbank,CBK.DE,DAX,Finance,Corporate Marathoners,16.0,29000.0,0.000551724137931,0.06,41.0,2.0,3.681547619047619,3:41/km,2.0,5.126488095238096,5:08/km,3.0,4:49/km,3:28/km,5:41/km,0.235,35.0,23.47
2023,32.0,0.2191,21.9,Continental,CON.DE,DAX,Automotive,Factory Endurance,114.0,32000.0,0.0035625,0.36,32.0,6.0,4.557377049180328,4:33/km,12.0,6.0253907103825135,6:02/km,27.0,6:30/km,3:36/km,12:28/km,0.341,20.0,33.3
2023,8.0,0.6562,65.6,Covestro,1COV.DE,DAX,Chemicals,Factory Endurance,271.0,8000.0,0.033875,3.39,8.0,1.0,4.763,4:46/km,23.0,5.876666666666667,5:53/km,19.0,6:13/km,3:47/km,14:02/km,0.414,9.0,
2023,3.0,0.8589,85.9,DEUTZ,DEZ.DE,SDAX,Industrials,Heavy Industry,272.0,4200.0,0.0647619047619047,6.48,2.0,1.0,5.096666666666667,5:06/km,39.0,6.146166666666668,6:09/km,32.0,6:26/km,3:55/km,12:47/km,0.396,13.0,19.99
2023,26.0,0.3156,31.6,Dermapharm,DMP.DE,SDAX,Healthcare,Care Providers,16.0,2000.0,0.008,0.8,27.0,1.0,4.418274853801169,4:25/km,8.0,5.625,5:38/km,9.0,5:48/km,4:18/km,7:42/km,0.214,38.0,14.44
2023,,,,Deutsche Bank,DBK.DE,,,,,,,,,,,,,,,,,,,,,16.64
2023,37.0,0.1875,18.8,Deutsche Post,DHL.DE,DAX,Logistics,Corporate Marathoners,204.0,190000.0,0.0010736842105263,0.11,39.0,4.0,4.747953216374269,4:45/km,20.0,5.987633879781421,5:59/km,26.0,6:07/km,2:51/km,9:29/km,0.386,15.0,24.58
2023,31.0,0.2443,24.4,Deutsche Telekom,DTE.DE,DAX,Telecom,Connected Operators,332.0,74550.0,0.0044533869885982,0.45,31.0,4.0,4.612021857923497,4:37/km,14.0,5.87719298245614,5:53/km,20.0,6:08/km,3:23/km,10:41/km,0.429,7.0,18.47
2023,35.0,0.2029,20.3,E.ON,EOAN.DE,DAX,Energy,Grid Operators,83.0,47000.0,0.0017659574468085,0.18,36.0,2.0,4.63421052631579,4:38/km,17.0,5.921345029239766,5:55/km,22.0,6:06/km,3:59/km,9:21/km,0.324,23.0,34.02
2023,,,,Elmos Semiconductor,ELG.DE,,,,,,,,,,,,,,,,,,,,,40.92
2023,40.0,0.1588,15.9,EnBW,EBK.DE,Other,Energy,Grid Operators,32.0,28000.0,0.0011428571428571,0.11,38.0,2.0,5.244444444444444,5:15/km,42.0,6.333833333333333,6:20/km,38.0,6:23/km,4:24/km,8:18/km,0.238,34.0,-10.13
2023,,,,Evonik,EVK.DE,,,,,,,,,,,,,,,,,,,,,6.98
2023,44.0,0.0626,6.3,Fresenius,FRE.DE,DAX,Healthcare,Care Providers,66.0,85000.0,0.0007764705882352,0.08,40.0,2.0,5.4315,5:26/km,43.0,7.396999999999999,7:24/km,43.0,8:05/km,4:33/km,14:07/km,0.246,32.0,9.79
2023,,,,GEA,G1A.DE,,,,,,,,,,,,,,,,,,,,,1.77
2023,,,,Gerresheimer,GXI.DE,,,,,,,,,,,,,,,,,,,,,48.09
2023,16.0,0.4134,41.3,HelloFresh,HFG.DE,MDAX,Consumer,Digital Hustlers,57.0,3500.0,0.0162857142857142,1.63,16.0,1.0,4.51125730994152,4:31/km,10.0,5.837426900584795,5:50/km,16.0,5:56/km,3:55/km,10:20/km,0.301,26.0,-32.21
2023,,,,Henkel,HEN3.DE,,,,,,,,,,,,,,,,,,,,,14.53
2023,43.0,0.0812,8.1,Hochtief,HOT.DE,MDAX,Industrials,Infrastructure Operators,29.0,5000.0,0.0058,0.58,30.0,1.0,5.716520467836257,5:43/km,44.0,8.289473684210526,8:17/km,44.0,7:53/km,4:42/km,9:13/km,0.176,44.0,95.5
2023,12.0,0.471,47.1,Infineon,IFX.DE,DAX,Technology,Precision Engineers,330.0,15000.0,0.022,2.2,14.0,2.0,4.686695906432748,4:41/km,19.0,6.098830409356725,6:06/km,30.0,6:15/km,3:42/km,11:56/km,0.413,10.0,32.89
2023,19.0,0.402,40.2,Knorr-Bremse,KBX.DE,DAX,Industrials,Engineering Giants,96.0,6000.0,0.016,1.6,18.0,1.0,4.969005847953216,4:58/km,34.0,5.923391812865496,5:55/km,23.0,6:13/km,3:55/km,9:44/km,0.335,22.0,17.29
2023,,,,LPKF Laser & Electronics,LPK.DE,,,,,,,,,,,,,,,,,,,,,0.1
2023,10.0,0.5554,55.5,MTU Aero Engines,MTX.DE,DAX,Industrials,Precision Engineers,258.0,10000.0,0.0258,2.58,10.0,1.0,4.582163742690058,4:35/km,13.0,5.73391812865497,5:44/km,12.0,5:49/km,3:26/km,10:03/km,0.421,8.0,-4.11
2023,36.0,0.1947,19.5,Mercedes-Benz,MBG.DE,DAX,Automotive,Mobility Machines,13.0,90000.0,0.0001444444444444,0.01,43.0,1.0,4.851461988304093,4:51/km,29.0,5.752046783625731,5:45/km,14.0,5:51/km,4:40/km,7:16/km,0.194,40.0,5.91
2023,41.0,0.1475,14.8,Merck,MRK.DE,DAX,Healthcare,Precision Engineers,16.0,13000.0,0.0012307692307692,0.12,37.0,1.0,4.989181286549707,4:59/km,35.0,6.479824561403509,6:29/km,39.0,6:23/km,4:38/km,8:30/km,0.186,42.0,-18.85
2023,,,,Munich Re,MUV2.DE,,,,,,,,,,,,,,,,,,,,,27.86
2023,6.0,0.819,81.9,OVB Holding,O4B.DE,Other,Finance,Corporate Marathoners,15.0,250.0,0.06,6.0,3.0,1.0,4.989333333333333,4:59/km,36.0,6.611999999999999,6:37/km,40.0,6:25/km,4:51/km,8:09/km,0.178,43.0,-12.13
2023,4.0,0.8452,84.5,Puma,PUM.DE,MDAX,Consumer,Consumer Lifestyle,83.0,2000.0,0.0415,4.15,7.0,1.0,3.9125683060109298,3:55/km,3.0,4.918032786885246,4:55/km,2.0,4:57/km,3:06/km,7:00/km,0.39,14.0,-8.98
2023,,,,Qiagen,QIA.DE,,,,,,,,,,,,,,,,,,,,,-13.67
2023,15.0,0.4297,43.0,RTL Group,RRTL.DE,MDAX,Media,Content Machines,149.0,8000.0,0.018625,1.86,15.0,3.0,4.760815789473684,4:46/km,22.0,6.029333333333333,6:02/km,29.0,6:04/km,3:51/km,9:50/km,0.36,17.0,-6.16
2023,27.0,0.2999,30.0,RWE,RWE.DE,DAX,Energy,Grid Operators,85.0,11000.0,0.0077272727272727,0.77,28.0,4.0,4.751572327044025,4:45/km,21.0,5.763,5:46/km,15.0,5:57/km,3:08/km,9:18/km,0.335,21.0,1.17
2023,38.0,0.1819,18.2,Rheinmetall,RHM.DE,DAX,Industrials,Heavy Industry,41.0,16000.0,0.0025625,0.26,34.0,1.0,4.950584795321637,4:57/km,33.0,6.296783625730994,6:18/km,35.0,6:37/km,4:24/km,9:49/km,0.256,31.0,48.14
2023,34.0,0.2091,20.9,SAP,SAP.DE,DAX,Technology,Office Athletes,87.0,25000.0,0.00348,0.35,33.0,4.0,4.8453216374269,4:51/km,27.0,6.128654970760233,6:08/km,31.0,6:18/km,4:15/km,10:56/km,0.316,24.0,45.61
2023,,,,Schaeffler,SHA0.DE,,,,,,,,,,,,,,,,,,,,,-8.3
2023,9.0,0.6023,60.2,Siemens,SIE.DE,DAX,Industrials,Engineering Giants,2508.0,86000.0,0.0291627906976744,2.92,9.0,7.0,4.5117510305819195,4:31/km,11.0,5.73640350877193,5:44/km,13.0,5:57/km,3:09/km,12:51/km,0.593,1.0,34.72
2023,7.0,0.8089,80.9,Siemens Energy,ENR.DE,DAX,Energy,Engineering Giants,1138.0,27000.0,0.0421481481481481,4.21,6.0,6.0,4.359517304189435,4:22/km,6.0,5.44672131147541,5:27/km,5.0,5:43/km,3:09/km,12:51/km,0.561,2.0,-30.19
2023,,,,TRATON,8TRA.DE,,,,,,,,,,,,,,,,,,,,,53.34
2023,,,,TUI,TUI1.DE,,,,,,,,,,,,,,,,,,,,,-15.91
2023,24.0,0.3271,32.7,Talanx,TLX.DE,MDAX,Finance,Corporate Marathoners,127.0,12000.0,0.0105833333333333,1.06,22.0,1.0,4.790666666666667,4:47/km,25.0,5.912333333333334,5:55/km,21.0,6:14/km,4:12/km,10:56/km,0.356,18.0,53.47
2023,,,,TeamViewer,TMV.DE,,,,,,,,,,,,,,,,,,,,,16.68
2023,1.0,0.9267,92.7,UmweltBank,UBK.DE,Other,Finance,Sustainable Finance,34.0,350.0,0.0971428571428571,9.71,1.0,1.0,4.166666666666667,4:10/km,4.0,5.355191256830601,5:21/km,4.0,5:17/km,3:43/km,7:24/km,0.286,27.0,-42.22
2023,28.0,0.2707,27.1,Uniper,UN0.DE,SDAX,Energy,Grid Operators,43.0,5000.0,0.0086,0.86,26.0,1.0,5.143333333333333,5:09/km,40.0,6.246666666666667,6:15/km,34.0,6:29/km,3:51/km,9:40/km,0.261,30.0,-6.75
2023,,,,United Internet,UTDI.DE,,,,,,,,,,,,,,,,,,,,,24.58
2023,2.0,0.9097,91.0,Villeroy & Boch,VIB3.DE,SDAX,Consumer,Consumer Lifestyle,115.0,2000.0,0.0575,5.75,4.0,1.0,4.339622641509434,4:20/km,5.0,5.553459119496855,5:33/km,7.0,5:57/km,3:34/km,10:49/km,0.371,16.0,11.88
2023,39.0,0.1705,17.1,Volkswagen,VOW3.DE,DAX,Automotive,Mobility Machines,30.0,293338.0,0.0001022711002324,0.01,44.0,1.0,4.848976608187134,4:51/km,28.0,6.02704678362573,6:02/km,28.0,6:10/km,4:37/km,9:16/km,0.245,33.0,0.05
2023,42.0,0.1105,11.1,Vonovia,VNA.DE,DAX,Real Estate,Infrastructure Operators,23.0,12000.0,0.0019166666666666,0.19,35.0,1.0,5.0134502923976605,5:01/km,37.0,7.023684210526315,7:01/km,41.0,7:09/km,4:05/km,9:08/km,0.194,39.0,31.51
2023,25.0,0.3231,32.3,Wacker Chemie,WCH.DE,MDAX,Chemicals,Factory Endurance,98.0,10657.0,0.0091958337243126,0.92,25.0,1.0,4.393567251461988,4:24/km,7.0,5.732163742690059,5:44/km,11.0,5:58/km,3:11/km,11:26/km,0.347,19.0,2.11
2023,11.0,0.5073,50.7,adesso,ADN1.DE,SDAX,Technology,Office Athletes,232.0,10000.0,0.0232,2.32,12.0,4.0,4.789766081871345,4:47/km,24.0,5.87046783625731,5:52/km,18.0,6:09/km,3:42/km,11:01/km,0.403,12.0,-19.84
2023,22.0,0.3428,34.3,grenke,GLJ.DE,SDAX,Finance,Corporate Marathoners,13.0,1100.0,0.0118181818181818,1.18,20.0,4.0,4.917251461988304,4:55/km,32.0,5.931333333333334,5:56/km,24.0,6:04/km,4:42/km,7:47/km,0.188,41.0,23.51
2023,33.0,0.2121,21.2,thyssenkrupp,TKA.DE,MDAX,Industrials,Heavy Industry,18.0,48000.0,0.000375,0.04,42.0,3.0,4.482142857142858,4:29/km,9.0,5.587280701754386,5:35/km,8.0,5:34/km,4:20/km,7:22/km,0.225,37.0,10.69
2024,,,,Adidas,ADS.DE,,,,,,,,,,,,,,,,,,,,,30.35
2024,32.0,0.479,47.9,Airbus,AIR.DE,DAX,Industrials,Engineering Giants,992.0,45000.0,0.0220444444444444,2.2,30.0,4.0,4.677,4:41/km,41.0,6.012333333333333,6:01/km,50.0,6:16/km,3:17/km,12:12/km,0.498,7.0,11.18
2024,18.0,0.6554,65.5,Allianz,ALV.DE,DAX,Finance,Corporate Marathoners,1456.0,45000.0,0.0323555555555555,3.24,19.0,9.0,4.297076023391813,4:18/km,14.0,5.6383040935672515,5:38/km,26.0,6:01/km,2:58/km,13:28/km,0.561,3.0,27.24
2024,17.0,0.6659,66.6,Amadeus Fire,AAD.DE,SDAX,Professional Services,Office Athletes,159.0,4200.0,0.0378571428571428,3.79,15.0,11.0,4.7778187134502925,4:47/km,47.0,6.414166666666667,6:25/km,58.0,6:43/km,3:58/km,10:39/km,0.343,35.0,-34.63
2024,,,,Aurubis,NDA.DE,,,,,,,,,,,,,,,,,,,,,8.67
2024,26.0,0.541,54.1,BMW,BMW.DE,DAX,Automotive,Mobility Machines,1657.0,85000.0,0.0194941176470588,1.95,33.0,3.0,3.9330409356725142,3:56/km,3.0,4.872514619883041,4:52/km,3.0,4:58/km,2:51/km,11:55/km,0.661,2.0,-17.6
2024,11.0,0.8508,85.1,Bayer,BAYN.DE,DAX,Healthcare,Factory Endurance,985.0,22000.0,0.0447727272727272,4.48,12.0,5.0,4.259649122807017,4:16/km,11.0,5.386549707602339,5:23/km,15.0,5:36/km,2:58/km,11:15/km,0.556,4.0,-43.51
2024,22.0,0.6183,61.8,Borussia Dortmund,BVB.DE,SDAX,Media,Performance Culture,28.0,1000.0,0.028,2.8,23.0,1.0,4.185734463276836,4:11/km,8.0,5.359745762711864,5:22/km,14.0,5:33/km,3:49/km,7:33/km,0.27,45.0,-11.25
2024,30.0,0.5248,52.5,CANCOM,COK.DE,SDAX,Technology,Office Athletes,92.0,4000.0,0.023,2.3,29.0,4.0,4.683040935672514,4:41/km,42.0,5.6335,5:38/km,25.0,6:01/km,3:50/km,10:06/km,0.349,34.0,-17.6
2024,25.0,0.5476,54.8,CENIT,CSH.DE,Other,Technology,Office Athletes,18.0,700.0,0.0257142857142857,2.57,24.0,3.0,4.535,4:32/km,28.0,5.811315476190476,5:49/km,37.0,6:03/km,4:22/km,9:20/km,0.216,55.0,-42.52
2024,33.0,0.4775,47.7,CTS Eventim,EVD.DE,MDAX,Media,Content Machines,54.0,2500.0,0.0216,2.16,31.0,1.0,4.886388888888889,4:53/km,51.0,5.957222222222223,5:57/km,49.0,5:57/km,4:24/km,8:03/km,0.291,43.0,32.25
2024,24.0,0.5825,58.2,Carl Zeiss Meditec,AFX.DE,MDAX,Healthcare,Precision Engineers,113.0,4500.0,0.0251111111111111,2.51,25.0,2.0,4.137719298245614,4:08/km,6.0,5.305847953216374,5:18/km,13.0,5:25/km,3:26/km,9:24/km,0.387,28.0,-52.38
