year,fitnessdax_rank,fitness_score,fitness_score_100,matched_company,ticker,index,sector,cluster,participants,germany_employees_estimate,participation_rate,participation_rate_pct,participation_rate_rank,races_entered,top_20_pace,top_20_pace_formatted,top_20_pace_rank,median_pace,median_pace_formatted,median_pace_rank,average_pace_formatted,fastest_pace_formatted,slowest_pace_formatted,culture_score,culture_score_rank
2023,1,0.9267,92.7,UmweltBank,UBK.DE,Other,Finance,Sustainable Finance,34,350,0.09714285714285714,9.71,1,1,4.166666666666667,4:10/km,4,5.355191256830601,5:21/km,4,5:17/km,3:43/km,7:24/km,0.286,27
2023,2,0.9097,91.0,Villeroy & Boch,VIB3.DE,SDAX,Consumer,Consumer Lifestyle,115,2000,0.0575,5.75,4,1,4.339622641509434,4:20/km,5,5.553459119496855,5:33/km,7,5:57/km,3:34/km,10:49/km,0.371,16
2023,3,0.8589,85.9,DEUTZ,DEZ.DE,SDAX,Industrials,Heavy Industry,272,4200,0.06476190476190476,6.48,2,1,5.096666666666667,5:06/km,39,6.146166666666668,6:09/km,32,6:26/km,3:55/km,12:47/km,0.396,13
2023,4,0.8452,84.5,Puma,PUM.DE,MDAX,Consumer,Consumer Lifestyle,83,2000,0.0415,4.15,7,1,3.9125683060109298,3:55/km,3,4.918032786885246,4:55/km,2,4:57/km,3:06/km,7:00/km,0.39,14
2023,5,0.8446,84.5,Bayer,BAYN.DE,DAX,Healthcare,Factory Endurance,1119,22000,0.05086363636363636,5.09,5,2,4.832748538011695,4:50/km,26,6.312865497076023,6:19/km,36,6:35/km,3:31/km,13:18/km,0.483,4
2023,6,0.819,81.9,OVB Holding,O4B.DE,Other,Finance,Corporate Marathoners,15,250,0.06,6.0,3,1,4.989333333333333,4:59/km,36,6.611999999999999,6:37/km,40,6:25/km,4:51/km,8:09/km,0.178,43
2023,7,0.8089,80.9,Siemens Energy,ENR.DE,DAX,Energy,Engineering Giants,1138,27000,0.04214814814814815,4.21,6,6,4.359517304189435,4:22/km,6,5.44672131147541,5:27/km,5,5:43/km,3:09/km,12:51/km,0.561,2
2023,8,0.6562,65.6,Covestro,1COV.DE,DAX,Chemicals,Factory Endurance,271,8000,0.033875,3.39,8,1,4.763,4:46/km,23,5.876666666666667,5:53/km,19,6:13/km,3:47/km,14:02/km,0.414,9
2023,9,0.6023,60.2,Siemens,SIE.DE,DAX,Industrials,Engineering Giants,2508,86000,0.02916279069767442,2.92,9,7,4.5117510305819195,4:31/km,11,5.73640350877193,5:44/km,13,5:57/km,3:09/km,12:51/km,0.593,1
2023,10,0.5554,55.5,MTU Aero Engines,MTX.DE,DAX,Industrials,Precision Engineers,258,10000,0.0258,2.58,10,1,4.582163742690058,4:35/km,13,5.73391812865497,5:44/km,12,5:49/km,3:26/km,10:03/km,0.421,8
2023,11,0.5073,50.7,adesso,ADN1.DE,SDAX,Technology,Office Athletes,232,10000,0.0232,2.32,12,4,4.789766081871345,4:47/km,24,5.87046783625731,5:52/km,18,6:09/km,3:42/km,11:01/km,0.403,12
2023,12,0.471,47.1,Infineon,IFX.DE,DAX,Technology,Precision Engineers,330,15000,0.022,2.2,14,2,4.686695906432748,4:41/km,19,6.098830409356725,6:06/km,30,6:15/km,3:42/km,11:56/km,0.413,10
