year,fitnessdax_rank,matched_company,ticker,index,sector,cluster,participants,germany_employees_estimate,participation_rate,participation_rate_pct,races_entered,top_20_pace,top_20_pace_formatted,top_20_pace_rank,median_pace,median_pace_formatted,median_pace_rank,average_pace_formatted,fastest_pace_formatted,slowest_pace_formatted,endurance_multiple,endurance_multiple_rank,yearly_return_pct
2023,19.0,Adidas,ADS.DE,DAX,Consumer,Consumer Lifestyle,71.0,6000.0,0.0118333333333333,1.18,1.0,3.595628415300547,3:36/km,1.0,4.494535519125684,4:30/km,1.0,4:37/km,2:54/km,8:16/km,0.412,11.0,44.82
2023,8.0,Airbus,AIR.DE,DAX,Industrials,Engineering Giants,553.0,18000.0,0.0307222222222222,3.07,2.0,4.876666666666667,4:53/km,26.0,5.987134502923976,5:59/km,20.0,6:19/km,3:31/km,12:26/km,0.458,6.0,24.79
2023,11.0,Allianz,ALV.DE,DAX,Finance,Corporate Marathoners,1049.0,45000.0,0.0233111111111111,2.33,4.0,4.9002732240437155,4:54/km,27.0,6.333333333333334,6:20/km,32.0,6:36/km,3:31/km,11:22/km,0.477,5.0,25.64
2023,13.0,Amadeus Fire,AAD.DE,SDAX,Professional Services,Office Athletes,96.0,4200.0,0.0228571428571428,2.29,4.0,5.016,5:01/km,31.0,7.038011695906432,7:02/km,35.0,7:12/km,4:04/km,12:33/km,0.282,29.0,9.92
2023,26.0,Aurubis,NDA.DE,MDAX,Materials,Heavy Industry,42.0,7000.0,0.006,0.6,1.0,4.677666666666666,4:41/km,15.0,5.692333333333334,5:42/km,7.0,5:48/km,4:11/km,7:52/km,0.285,28.0,-3.29
2023,16.0,BMW,BMW.DE,DAX,Automotive,Mobility Machines,1383.0,88000.0,0.015715909090909,1.57,2.0,4.624269005847953,4:37/km,13.0,5.849415204678363,5:51/km,13.0,6:04/km,3:15/km,11:15/km,0.537,3.0,27.45
2023,7.0,Bayer,BAYN.DE,DAX,Healthcare,Factory Endurance,1119.0,35000.0,0.0319714285714285,3.2,2.0,4.832748538011695,4:50/km,23.0,6.312865497076023,6:19/km,31.0,6:35/km,3:31/km,13:18/km,0.483,4.0,-29.21
2023,,Borussia Dortmund,BVB.DE,,,,,,,,,,,,,,,,,,,,-5.91
2023,23.0,CANCOM,COK.DE,SDAX,Technology,Office Athletes,26.0,4000.0,0.0065,0.65,2.0,5.194166666666666,5:12/km,34.0,6.160666666666667,6:10/km,28.0,6:20/km,4:47/km,10:09/km,0.23,35.0,8.28
2023,,CENIT,CSH.DE,,,,,,,,,,,,,,,,,,,,4.41
2023,,CTS Eventim,EVD.DE,,,,,,,,,,,,,,,,,,,,7.47
2023,21.0,Carl Zeiss Meditec,AFX.DE,MDAX,Healthcare,Precision Engineers,47.0,5000.0,0.0094,0.94,1.0,4.616520467836257,4:37/km,12.0,5.491520467836257,5:29/km,5.0,5:52/km,4:03/km,9:31/km,0.304,25.0,-15.32
2023,,Commerzbank,CBK.DE,,,,,,,,,,,,,,,,,,,,23.47
2023,30.0,Continental,CON.DE,DAX,Automotive,Factory Endurance,114.0,32000.0,0.0035625,0.36,6.0,4.557377049180328,4:33/km,9.0,6.0253907103825135,6:02/km,22.0,6:30/km,3:36/km,12:28/km,0.341,20.0,33.3
2023,5.0,Covestro,1COV.DE,DAX,Chemicals,Factory Endurance,271.0,8000.0,0.033875,3.39,1.0,4.763,4:46/km,20.0,5.876666666666667,5:53/km,15.0,6:13/km,3:47/km,14:02/km,0.414,9.0,
2023,3.0,DEUTZ,DEZ.DE,SDAX,Industrials,Heavy Industry,272.0,5000.0,0.0544,5.44,1.0,5.096666666666667,5:06/km,32.0,6.146166666666668,6:09/km,27.0,6:26/km,3:55/km,12:47/km,0.396,13.0,19.99
2023,,Dermapharm,DMP.DE,,,,,,,,,,,,,,,,,,,,14.44
2023,,Deutsche Bank,DBK.DE,,,,,,,,,,,,,,,,,,,,16.64
2023,35.0,Deutsche Post,DHL.DE,DAX,Logistics,Corporate Marathoners,204.0,190000.0,0.0010736842105263,0.11,4.0,4.747953216374269,4:45/km,17.0,5.987633879781421,5:59/km,21.0,6:07/km,2:51/km,9:29/km,0.386,15.0,24.58
2023,29.0,Deutsche Telekom,DTE.DE,DAX,Telecom,Connected Operators,332.0,90000.0,0.0036888888888888,0.37,4.0,4.612021857923497,4:37/km,11.0,5.87719298245614,5:53/km,16.0,6:08/km,3:23/km,10:41/km,0.429,7.0,18.47
2023,33.0,E.ON,EOAN.DE,DAX,Energy,Grid Operators,83.0,47000.0,0.0017659574468085,0.18,2.0,4.63421052631579,4:38/km,14.0,5.921345029239766,5:55/km,18.0,6:06/km,3:59/km,9:21/km,0.324,23.0,34.02
2023,,Elmos Semiconductor,ELG.DE,,,,,,,,,,,,,,,,,,,,40.92
