company,runner_count
DB / VDES,1826
REWE Group,1163
Stadt Dortmund,1119
Landeshauptstadt München,1005
Debeka,896
DAK,882
DATEV eG,682
Stadtwerke Köln Konzern,638
--,517
HDI AG,505
Caritas und Erzdiözese,478
Rossmann,470
CHECK24 GmbH,439
FC Deutsche Post,435
Universitätsklinikum Düsseldorf,423
Mach Köln!,408
Deloitte GmbH,408
NORD/LB,403
Stadtwerke München GmbH,401
United Internet,376
Westpfalz-Klinikum GmbH,372
ZF Group,368
COVESTRO,362
Brainlab AG,358
#ONETEAM @Capgemini,348
Stadt Freiburg,345
TKMS,344
KPMG,335
TÜV SÜD,330
SICK AG,329
LMU Klinikum,327
adesso SE,319
Continentale Krankenversicherung,307
Lidl Vertriebs-GmbH & Co. KG,299
Klinikum Dortmund,290
UPS,283
Diehl Stiftung & Co. KG,274
Airbus Operations GmbH,272
#teamlidl,267
Finanz Informatik,261
STRÖER,255
Kath. St. Paulus Gesellschaft,253
DEUTZ AG,252
BarmeniaGothaer,250
MAN,250
Team Land NRW,243
VHV-Laufgruppe,240
Schaeffler Technologies AG & Co. KG,228
ARAG SE,225
INNOMOTICS GmbH,224
MACS Track & Field Team,224
UniCredit Running,223
Haufe Group,219
Group Atos,216
Hertha BSC,212
Stadt Gelsenkirchen,210
Stabilus Team,204
Haus Edelberg,203
Kliniken der Stadt Köln gGmbH,197
Stryker Leibinger GmbH & Co. KG,194
AG der Dillinger Hüttenwerke,194
Westnetz GmbH,192
Robert Bosch GmbH,192
SIGNAL IDUNA,191
Apple,191
Team Vielfalt,190
Stadtverwaltung Koblenz,183
Lebenshilfe Karlsruhe,182
Erzdiözese München und Freising,181
Rheinmetall Electronics GmbH,180
BSH Hausgeräte GmbH,179
Gemeinschaftsklinikum Mittelrhein,175
Bundesagentur für Arbeit,174
Bezirkskliniken Mittelfranken,174
Airbus,173
Canon,172
KPMG AG Berlin,172
badenova AG & Co. KG,172
MAN Runners,170
TUI Group,169
TÜV NORD GROUP,169
Computacenter,166
Amazon,165
MHP Management- und IT-Beratung GmbH,164
evm-Gruppe,162
ArcelorMittal Bremen GmbH,162
Diakonie München und Oberbayern,162
JobRad,160
Die Sparkasse Bremen AG,159
Rohde & Schwarz GmbH & Co KG,159
Klinikum Region Hannover GmbH,156
ALDI GmbH & Co. KG Herten,156
KHS GmbH,154
Flaconi,152
Deutsche Apotheker- und Ärztebank eG,151
AWO Gelsenkirchen/Bottrop,150
Sozialwerk St. Georg e.V.,150
Klinikum Wahrendorff GmbH,150
Gemeinschaftswerk,147
Lebenshilfe Westpfalz e.V.,147
Linde plc,147
Harman Becker Automotive Systems,145
Kaufland,143
Lidl Vertriebs-GmbH Sankt Ingbert,141
Team Bundeswehr,141
